time2move,direction,response_trigger,start_orientation,corrAnsKey,feedback
3,left,100,168.75,b,0.5
2,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
2,left,100,168.75,b,0.5
3,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
6,left,0,168.75,b,0.5
2,left,100,168.75,b,0.5
6,right,0,191.25,f,0.5
2,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
1,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
1,right,200,191.25,f,0.5
3,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
6,right,0,191.25,f,0.5
2,left,100,168.75,b,0.5
2,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
1,right,200,191.25,f,0.5
1,right,200,191.25,f,0.5
2,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
2,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
3,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
6,right,0,191.25,f,0.5
1,left,100,168.75,b,0.5
6,left,0,168.75,b,0.5
3,left,100,168.75,b,0.5
6,right,0,191.25,f,0.5
1,right,200,191.25,f,0.5
3,left,100,168.75,b,0.5
1,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
2,right,200,191.25,f,0.5
6,left,0,168.75,b,0.5
6,right,0,191.25,f,0.5
3,right,200,191.25,f,0.5
6,left,0,168.75,b,0.5
6,left,0,168.75,b,0.5
1,right,200,191.25,f,0.5
2,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
3,left,100,168.75,b,0.5
2,left,100,168.75,b,0.5
1,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
2,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
2,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
1,right,200,191.25,f,0.5
2,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
2,right,200,191.25,f,0.5
1,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
1,right,200,191.25,f,0.5
2,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
3,left,100,168.75,b,0.5
3,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
1,right,200,191.25,f,0.5
3,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
3,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
1,right,200,191.25,f,0.5
2,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
3,right,200,191.25,f,0.5
2,left,100,168.75,b,0.5
3,right,200,191.25,f,0.5
2,right,200,191.25,f,0.5
3,left,100,168.75,b,0.5
1,left,100,168.75,b,0.5
2,right,200,191.25,f,0.5
