time2move,direction,response_trigger,start_orientation,corrAnsKey
2,left,100,157.5,b
1,right,200,202.5,f
3,right,200,202.5,f
2,left,100,157.5,b
2,right,200,202.5,f
2,left,100,157.5,b
1,right,200,202.5,f
2,left,100,157.5,b
1,left,100,157.5,b
3,right,200,202.5,f
3,left,100,157.5,b
2,left,100,157.5,b
2,right,200,202.5,f
3,right,200,202.5,f
3,left,100,157.5,b
1,right,200,202.5,f
2,left,100,157.5,b
3,left,100,157.5,b
3,left,100,157.5,b
3,right,200,202.5,f
6,right,0,202.5,f
1,left,100,157.5,b
1,right,200,202.5,f
2,left,100,157.5,b
1,right,200,202.5,f
2,left,100,157.5,b
1,right,200,202.5,f
3,right,200,202.5,f
6,left,0,157.5,b
3,left,100,157.5,b
2,right,200,202.5,f
1,left,100,157.5,b
6,right,0,202.5,f
3,left,100,157.5,b
3,right,200,202.5,f
3,left,100,157.5,b
1,left,100,157.5,b
1,right,200,202.5,f
1,left,100,157.5,b
3,left,100,157.5,b
3,left,100,157.5,b
1,right,200,202.5,f
3,left,100,157.5,b
6,left,0,157.5,b
2,right,200,202.5,f
3,right,200,202.5,f
6,left,0,157.5,b
6,right,0,202.5,f
3,left,100,157.5,b
1,left,100,157.5,b
2,right,200,202.5,f
2,right,200,202.5,f
6,right,0,202.5,f
3,left,100,157.5,b
3,right,200,202.5,f
1,left,100,157.5,b
3,right,200,202.5,f
1,left,100,157.5,b
2,right,200,202.5,f
2,left,100,157.5,b
3,right,200,202.5,f
2,right,200,202.5,f
2,right,200,202.5,f
1,left,100,157.5,b
6,right,0,202.5,f
1,left,100,157.5,b
1,right,200,202.5,f
6,right,0,202.5,f
3,left,100,157.5,b
2,left,100,157.5,b
3,right,200,202.5,f
2,right,200,202.5,f
3,right,200,202.5,f
2,left,100,157.5,b
1,left,100,157.5,b
2,right,200,202.5,f
1,left,100,157.5,b
3,left,100,157.5,b
3,right,200,202.5,f
2,right,200,202.5,f
2,left,100,157.5,b
1,left,100,157.5,b
2,left,100,157.5,b
1,right,200,202.5,f
2,left,100,157.5,b
3,left,100,157.5,b
6,left,0,157.5,b
1,right,200,202.5,f
1,right,200,202.5,f
2,left,100,157.5,b
2,left,100,157.5,b
1,right,200,202.5,f
1,right,200,202.5,f
3,left,100,157.5,b
1,right,200,202.5,f
2,right,200,202.5,f
3,right,200,202.5,f
2,left,100,157.5,b
1,right,200,202.5,f
1,right,200,202.5,f
